MarchMadness2019Data
Team Name,Expected amount of games won,Standardized Probability,First Round Prob,Second Round,Sweet Sixteen,Elite Eight,Final Four,Final,
Buffalo�NCAA,1.72488585,0.73594242,0.692385045,0.340062371,0.178874486,0.089528571,0.045991889,0.02231316,
Arizona State�NCAA,0.51128589,0.32696676,0.307614955,0.096680625,0.032695155,0.010382233,0.003388793,0.001009155,
Texas Tech�NCAA,3.19764979,0.97384276,0.829087774,0.517894565,0.306793465,0.173928181,0.100957778,0.055922318,
Northern Kentucky�NCAA,0.07200285,0.20075273,0.170912226,0.045362439,0.011021368,0.002503516,0.000582112,0.000120941,
Nevada�NCAA,0.14209653,0.21869593,0.248664699,0.064927159,0.015276013,0.003691091,0.000913835,0.000202872,
Florida�NCAA,1.48167044,0.66078528,0.751335301,0.37408952,0.175712152,0.083451865,0.04070957,0.018674793,
Montana�NCAA,0.22818179,0.24194682,0.218212056,0.07244161,0.018335575,0.004757935,0.001266364,0.000303519,
Michigan�NCAA,2.26535393,0.86682244,0.781787944,0.488541711,0.261291786,0.140947716,0.077931186,0.040947254,
Virginia�NCAA,4.07805771,0.99676967,0.830317167,0.595327703,0.348629656,0.208259729,0.118221669,0.065491577,
Gardner-Webb�NCAA,0.08375885,0.20369891,0.169682833,0.058368788,0.013340938,0.003210226,0.000694561,0.000144628,
Mississippi�NCAA,0.46518042,0.3123134,0.406920637,0.122398373,0.038063275,0.012347343,0.003652932,0.001042686,
Oklahoma�NCAA,0.88885003,0.45519105,0.593079363,0.223905136,0.088509469,0.036205054,0.01369046,0.005009865,
Wisconsin�NCAA,0.6955262,0.3880254,0.319260067,0.114634555,0.043095629,0.016039244,0.005486431,0.00181366,
Oregon�NCAA,2.07677352,0.82736431,0.680739933,0.36939109,0.203221722,0.112389705,0.05869881,0.029853156,
Kansas State�NCAA,1.16093626,0.55147757,0.40359245,0.185518852,0.084500447,0.038425885,0.016266354,0.006675934,
UC-Irvine�NCAA,2.023317,0.81494435,0.59640755,0.330455503,0.180638865,0.099242328,0.051464034,0.025983278,
Villanova�NCAA,1.68911259,0.72543843,0.62018714,0.352639278,0.18800225,0.092940184,0.045541037,0.021697888,
Saint Mary's (CA)�NCAA,0.85781923,0.44427049,0.37981286,0.171495071,0.071624641,0.027083742,0.010090052,0.003636992,
Purdue�NCAA,1.61553307,0.70320614,0.714523427,0.384433624,0.202118277,0.098394313,0.047462172,0.022253142,
Old Dominion�NCAA,0.36318008,0.28095493,0.285476573,0.091432028,0.029007262,0.008140711,0.002236036,0.00059215,
Cincinnati�NCAA,0.98940392,0.49076957,0.60176786,0.249918276,0.11208143,0.04494952,0.017784327,0.006814153,
Iowa�NCAA,0.50445075,0.32477676,0.39823214,0.130479332,0.045923096,0.014229356,0.004324471,0.001268367,
Tennessee�NCAA,2.46529818,0.90135229,0.835823145,0.570343188,0.339878177,0.185875997,0.100974186,0.053466779,
Colgate�NCAA,-0.02666081,0.17704844,0.164176855,0.049259204,0.011364867,0.002266663,0.000439473,8.19562E-05,
North Carolina�NCAA,1.85901884,0.7734218,0.845153973,0.468090708,0.236483777,0.125884831,0.064041304,0.031514186,
Iona�NCAA,-0.19087293,0.14170352,0.154846027,0.029585545,0.004903406,0.00087805,0.000144518,2.24849E-05,
Utah State�NCAA,0.72786345,0.39908606,0.339832475,0.136591022,0.047882325,0.017919501,0.006303858,0.002122348,
Washington�NCAA,1.86595659,0.7752751,0.660167525,0.365732725,0.18498287,0.098577274,0.050206788,0.024735718,
Auburn�NCAA,3.99292487,0.99594833,0.711807217,0.438751252,0.259980139,0.154145502,0.087879605,0.048665362,
New Mexico State�NCAA,0.73992903,0.40323435,0.288192783,0.116714115,0.043895129,0.016530775,0.005853432,0.001983926,
Kansas�NCAA,1.9167977,0.78859129,0.748025117,0.377929558,0.202764566,0.108890009,0.055912182,0.027779496,
Northeastern�NCAA,0.31139808,0.26563974,0.251974883,0.066605075,0.01910779,0.005484543,0.001465559,0.000372678,
Iowa State�NCAA,1.21708476,0.57115882,0.59967943,0.277350059,0.131659298,0.056578945,0.024615319,0.010307127,
Ohio State�NCAA,0.67568043,0.38128142,0.40032057,0.148613906,0.056414208,0.018994312,0.006490269,0.002120977,
Houston�NCAA,2.28779326,0.87106706,0.785820236,0.503422025,0.290065651,0.15447561,0.083065166,0.043290716,
Georgia State�NCAA,0.21177363,0.23741427,0.214179764,0.070614011,0.01971962,0.004773903,0.001175629,0.000275126,
Wofford�NCAA,1.17851499,0.55765528,0.566391972,0.259674269,0.122385444,0.051892814,0.022279075,0.009202364,
Seton Hall�NCAA,0.80825862,0.42691955,0.433608028,0.172708602,0.070481641,0.025500438,0.009357073,0.003289326,
Kentucky�NCAA,2.18833846,0.85152811,0.826388295,0.521504541,0.298680799,0.15740864,0.083773377,0.04319535,
Abilene Christian�NCAA,-0.01869825,0.1788932,0.173611705,0.046112588,0.010593339,0.002064856,0.000409841,7.7064E-05,
North Carolina Central�NCAA,-0.20214941,0.13946532,,,,,,,
Prairie View�NCAA,-0.04008687,0.17396524,,,,,,,
Temple�NCAA,0.06507577,0.19902877,,,,,,,
St. John's (NY)�NCAA,0.74728455,0.40576865,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
